sample_idx,Classique,Sim(2),SU(2) Stéréo,BiLogPolar
0,22.594196,77.07485,93.82638,78.92057
1,82.510185,88.13646,50.36915,77.67312
2,21.614054,65.427704,57.777496,63.212833
3,17.298882,74.834526,75.24186,40.644096
4,16.344196,39.613037,30.817211,45.493893
5,30.295317,47.390533,49.35082,29.569757
6,19.870163,71.53768,91.68789,66.48422
7,21.39766,71.4995,79.79888,58.668537
8,24.681772,59.406826,55.448067,68.25357
9,60.19603,96.72862,25.611,47.606926
10,47.059574,84.75051,28.818739,54.124237
11,11.723524,55.384422,10.221487,10.692465
12,34.49593,70.11202,54.429737,58.1721
13,25.01273,71.4613,81.78463,57.1665
14,95.646645,96.05398,75.58554,90.007645
15,15.745928,70.55754,57.395622,54.060593
16,93.62271,96.63952,95.65937,94.70469
17,34.43228,61.0998,64.740326,52.46945
18,22.339615,52.456722,17.044298,17.769857
19,21.079432,72.5942,15.27495,27.533096
20,21.919554,63.327396,68.78819,52.405807
21,38.69654,85.95978,94.615585,65.8223
22,41.675156,61.188904,90.65683,44.92108
23,20.990328,51.222,36.7999,48.87984
24,21.945011,73.35795,81.861,67.069756
25,25.140022,75.31823,90.63137,52.95316
26,99.01986,99.28717,94.09369,98.09064
27,28.525969,63.492874,85.870674,61.150715
28,13.989308,66.2551,12.143585,15.1222
29,28.907843,64.689415,65.32587,60.53972
30,19.92108,68.4445,51.94756,43.686356
31,39.918537,57.701122,87.970985,42.133404
32,30.575357,71.32129,43.699085,69.62831
33,52.100307,86.55805,68.3554,53.69145
34,25.114563,88.30194,11.799899,22.301426
35,23.256111,63.45469,47.645115,30.56263
36,27.838596,69.615585,54.213345,38.734726
37,94.590126,93.21538,74.13442,88.87475
38,20.761202,81.36456,93.11355,76.24746
39,29.977089,71.11762,58.73218,61.04888
