psi1_deg,Classique,Sim(2),SU(2) Stéréo,BiLogPolar
0.0,99.47811,99.50357,95.29023,98.6889
4.7368417,99.41447,99.49084,95.353874,98.587074
9.473683,99.26172,99.33809,95.2775,98.370674
14.2105255,98.48524,98.905304,95.328415,97.67058
18.947367,96.66498,97.91243,95.29023,96.677704
23.68421,93.15173,96.66498,95.31569,95.15021
28.421051,86.99084,94.38646,95.23931,93.11355
33.157894,78.79328,91.433304,95.2775,90.04583
37.894733,68.99186,87.93279,95.3666,86.799904
42.631577,58.49033,84.50866,95.226585,83.57944
47.36842,47.69603,81.3773,95.3666,80.231674
52.105263,38.40377,79.27699,95.26477,77.10031
56.842106,30.40988,78.067726,95.3666,74.1217
61.578945,24.770878,77.44399,95.29023,72.03412
66.31579,21.130348,77.25306,95.34115,70.201126
71.05263,19.04277,77.99135,95.26477,69.004585
75.78947,18.126274,78.64053,95.23931,68.54634
80.52631,18.062628,79.34064,95.34115,68.78819
85.26316,18.77546,79.60795,95.302956,69.51375
90.0,19.577394,78.83147,95.29023,69.14461
