sample_idx,Classique,Sim(2),SU(2) Stéréo,BiLogPolar
0,6.097251,8.630346,42.73167,8.910387
1,6.619145,23.510695,47.950615,6.530041
2,5.308045,8.477597,40.911407,8.057536
3,11.723524,10.157842,45.23931,7.166497
4,95.09929,92.05703,80.231674,85.476074
5,5.626273,9.037679,38.327396,7.85387
6,11.316192,8.477597,46.499493,6.6446033
7,3.7041752,9.254074,42.73167,6.0717926
8,20.773932,63.65835,74.987274,39.243893
9,4.989817,22.135948,49.63086,10.514257
10,11.074339,30.40988,55.906315,15.1222
11,9.139512,8.29939,41.700615,6.339104
12,3.1059065,11.583504,46.003056,6.7082486
13,5.804481,9.037679,41.78972,11.48167
14,6.3645625,23.510695,47.96334,6.530041
15,12.920062,49.821796,60.705196,14.956721
16,7.1283097,18.60998,45.252037,14.676681
17,43.10082,76.08198,85.081474,70.95214
18,6.924644,9.241344,42.998985,12.614563
19,24.401731,15.376782,50.229126,11.392567
20,4.378819,6.6573324,51.578415,6.135438
21,11.583504,31.797354,55.448067,15.771386
22,5.715377,7.026477,40.16039,10.61609
23,3.869654,8.0448065,39.956722,7.548371
24,6.6700616,8.528514,47.70876,5.7662935
25,11.914461,54.455196,63.034626,19.0555
26,36.316193,29.53157,51.9221,19.870163
27,17.553463,72.78513,90.58045,57.40835
28,13.8111,59.839615,68.38086,27.163952
29,5.206212,11.061609,43.953667,5.320774
30,4.0096745,10.106925,45.010185,5.2443995
31,4.7097764,7.319247,38.632893,10.399695
